date,open,high,low,close,volume,timestamp
2023-02-16 09:00:00+00:00,24592.6,24670.0,24571.6,24662.8,10580.787,1676538000000
2023-02-16 10:00:00+00:00,24662.8,24678.0,24622.5,24634.5,8445.833,1676541600000
2023-02-16 11:00:00+00:00,24634.5,24638.5,24520.9,24580.0,17425.66,1676545200000
2023-02-16 12:00:00+00:00,24580.0,24630.0,24468.8,24607.1,17900.741,1676548800000
2023-02-16 13:00:00+00:00,24607.2,24694.0,24361.0,24465.0,54062.575999999994,1676552400000
2023-02-16 14:00:00+00:00,24465.1,24534.6,24312.0,24448.2,51268.553,1676556000000
2023-02-16 15:00:00+00:00,24448.2,25104.8,24405.4,25090.2,91046.44900000001,1676559600000
2023-02-16 16:00:00+00:00,25090.2,25290.0,24620.0,24905.4,149453.087,1676563200000
2023-02-16 17:00:00+00:00,24905.4,24969.6,24766.9,24896.4,33713.016,1676566800000
2023-02-16 18:00:00+00:00,24896.4,25044.0,24861.1,24976.4,24140.088,1676570400000
2023-02-16 19:00:00+00:00,24976.4,25005.3,24832.0,24879.0,17009.822,1676574000000
2023-02-16 20:00:00+00:00,24879.1,24884.1,24450.0,24581.5,61317.096,1676577600000
2023-02-16 21:00:00+00:00,24581.5,24590.4,24372.9,24554.0,28693.147999999997,1676581200000
2023-02-16 22:00:00+00:00,24554.0,24569.5,24000.0,24012.8,54634.097,1676584800000
2023-02-16 23:00:00+00:00,24012.8,24113.6,23518.0,23526.6,93058.355,1676588400000
2023-02-17 00:00:00+00:00,23526.6,23787.3,23350.0,23718.5,75326.163,1676592000000
2023-02-17 01:00:00+00:00,23718.5,23858.0,23652.2,23852.2,20079.87,1676595600000
2023-02-17 02:00:00+00:00,23852.2,23857.8,23755.2,23778.1,16409.142,1676599200000
2023-02-17 03:00:00+00:00,23778.1,23924.7,23762.8,23839.1,13851.455,1676602800000
2023-02-17 04:00:00+00:00,23839.0,23885.7,23718.5,23804.8,15939.175,1676606400000
2023-02-17 05:00:00+00:00,23804.9,23812.8,23685.4,23709.5,11243.311000000002,1676610000000
2023-02-17 06:00:00+00:00,23709.5,23756.0,23612.0,23673.1,14246.487,1676613600000
